,geometry,crimes_2021,crimes_2022,crimes_2023,crimes_2020,gas_station,bar,liquor_store
548,"POLYGON ((1438372 7461709, 1438372 7462209, 1438872 7462209, 1438872 7461709, 1438372 7461709))",0,0,0,0,9189.674074116281,11415.476657596962,11651.014551033291
608,"POLYGON ((1438872 7461709, 1438872 7462209, 1439372 7462209, 1439372 7461709, 1438872 7461709))",0,0,0,0,9027.453773485826,11166.59390481258,11424.352837484592
609,"POLYGON ((1438872 7462209, 1438872 7462709, 1439372 7462709, 1439372 7462209, 1438872 7462209))",0,0,0,0,8551.743773913639,10730.90740391756,10976.528727106926
669,"POLYGON ((1439372 7462209, 1439372 7462709, 1439872 7462709, 1439872 7462209, 1439372 7462209))",0,0,0,0,8406.969348023653,10489.618001925,10758.897740194225
549,"POLYGON ((1438372 7462209, 1438372 7462709, 1438872 7462709, 1438872 7462209, 1438372 7462209))",0,0,0,0,8722.815458940544,10989.66157789203,11212.247107964167
730,"POLYGON ((1439872 7462709, 1439872 7463209, 1440372 7463209, 1440372 7462709, 1439872 7462709))",0,0,0,0,7801.240004306686,9816.891168675578,10099.10507978655
850,"POLYGON ((1440872 7462709, 1440872 7463209, 1441372 7463209, 1441372 7462709, 1440872 7462709))",0,0,0,0,7645.192587023043,9414.391985005364,9748.400832263518
790,"POLYGON ((1440372 7462709, 1440372 7463209, 1440872 7463209, 1440872 7462709, 1440372 7462709))",0,0,0,0,7707.409269575189,9604.741762925067,9912.69999039229
731,"POLYGON ((1439872 7463209, 1439872 7463709, 1440372 7463709, 1440372 7463209, 1439872 7463209))",0,0,0,0,7314.146945956322,9371.814471812582,9641.590561428746
851,"POLYGON ((1440872 7463209, 1440872 7463709, 1441372 7463709, 1441372 7463209, 1440872 7463209))",0,0,0,0,7147.472954472741,8949.32012634415,9273.600375697533
791,"POLYGON ((1440372 7463209, 1440372 7463709, 1440872 7463709, 1440872 7463209, 1440372 7463209))",0,0,0,0,7213.9834759292835,9149.350720621223,9446.161455384121
732,"POLYGON ((1439872 7463709, 1439872 7464209, 1440372 7464209, 1440372 7463709, 1439872 7463709))",1,2,1,2,6828.919789343655,8932.550630728658,9188.504431946105
792,"POLYGON ((1440372 7463709, 1440372 7464209, 1440872 7464209, 1440872 7463709, 1440372 7463709))",1,5,5,0,6721.529404326663,8698.86043602191,8983.223885824398
852,"POLYGON ((1440872 7463709, 1440872 7464209, 1441372 7464209, 1441372 7463709, 1440872 7463709))",0,0,0,4,6650.095456244707,8488.220367087772,8801.591280546874
853,"POLYGON ((1440872 7464209, 1440872 7464709, 1441372 7464709, 1441372 7464209, 1440872 7464209))",0,0,0,0,6153.14306021026,8031.776844304058,8332.847905215847
490,"POLYGON ((1437872 7462709, 1437872 7463209, 1438372 7463209, 1438372 7462709, 1437872 7462709))",0,0,0,0,8441.967251003975,10855.989303522512,11041.428017460397
430,"POLYGON ((1437372 7462709, 1437372 7463209, 1437872 7463209, 1437872 7462709, 1437372 7462709))",0,0,0,0,8463.457910650517,11156.73749997457,11320.045714475125
370,"POLYGON ((1436872 7462709, 1436872 7463209, 1437372 7463209, 1437372 7462709, 1436872 7462709))",0,0,0,0,8514.307285016324,11471.402683564138,11613.515285685635
431,"POLYGON ((1437372 7463209, 1437372 7463709, 1437872 7463709, 1437872 7463209, 1437372 7463209))",0,0,0,0,7964.854864210077,10767.188394367122,10913.834345429108
491,"POLYGON ((1437872 7463209, 1437872 7463709, 1438372 7463709, 1438372 7463209, 1437872 7463209))",0,0,0,0,7942.015126502953,10455.240697116944,10624.569535111566
371,"POLYGON ((1436872 7463209, 1436872 7463709, 1437372 7463709, 1437372 7463209, 1436872 7463209))",0,0,0,0,8018.8666123249695,11092.909167794429,11217.93574738754
432,"POLYGON ((1437372 7463709, 1437372 7464209, 1437872 7464209, 1437872 7463709, 1437372 7463709))",0,0,0,0,7466.438656448536,10387.10258908851,10515.708500197663
492,"POLYGON ((1437872 7463709, 1437872 7464209, 1438372 7464209, 1438372 7463709, 1437872 7463709))",0,1,0,0,7442.0694347862545,10063.379765819513,10215.176109499147
372,"POLYGON ((1436872 7463709, 1436872 7464209, 1437372 7464209, 1437372 7463709, 1436872 7463709))",0,0,0,0,7524.029169855618,10724.373551932667,10830.993840556674
373,"POLYGON ((1436872 7464209, 1436872 7464709, 1437372 7464709, 1437372 7464209, 1436872 7464209))",1,0,0,0,7029.922343199554,10366.85788259143,10453.648775228578
190,"POLYGON ((1435372 7462709, 1435372 7463209, 1435872 7463209, 1435872 7462709, 1435372 7462709))",0,0,0,0,8836.47864019767,12488.15211245897,12572.376236415912
250,"POLYGON ((1435872 7462709, 1435872 7463209, 1436372 7463209, 1436372 7462709, 1435872 7462709))",0,0,0,0,8701.726611445598,12138.107566617204,12240.683882730913
